6,𒐋
nunuz,𒉭
tah,𒈭
ak,𒀝
peš,𒄫
nì,𒃻
ka9,𒋃
ép,𒅁
mir,𒂇
lam,𒇴
50,𒐐
83,𒐕𒌋𒌋𒐈
93,𒐕𒌍𒐈
95,𒐕𒌍𒐊
41,𒐏𒁹
kaš,𒁉
ah,𒄴
54,𒐐𒐉
91,𒐕𒌍𒁹
23,𒌋𒌋𒐈
51,𒐐𒁹
5%6,𒑛
kád,𒆐
66,𒐕𒐋
53,𒐐𒐈
hab,𒆸
tam,𒌓
15,𒌋𒐊
nigin,𒆸𒆸
tal,𒊑
šil,𒋻
42,𒐏𒈫
56,𒐐𒐋
45,𒐏𒐊
GIŠ,𒄑
TUK,𒌇
35,𒌍𒐊
36,𒌍𒐋
zálag,𒂟
as,𒊍
75,𒐕𒌋𒐊
bit,𒂍
87,𒐕𒌋𒌋𒐌
82,𒐕𒌋𒌋𒈫
ṣal,𒉌
28,𒌋𒌋𒐍
tuq,𒌇
qin,𒆥
rat,𒋥
44,𒐏𒐉
37,𒌍𒐌
úr,𒌫
mur,𒄯
lu4,𒈝
33,𒌍𒐈
taš,𒌨
qip,𒄒
BA,𒁀
ua,𒇇
lab,𒆗
sig5,𒅆𒂟
tap,𒋰
gig,𒈪𒉭
79,𒐕𒌋𒑆
muk,𒈮
ke,𒆠
har,𒄯
zab,𒂟
m,𒁹
hir,𒆟
šitim,𒁶
ṣil,𒉣
šeb,𒈨
ṣib,𒍦
DI,𒁲
pur,𒁓
a4,𒀀𒀭
lib,𒈜
šip,𒈨
du8,𒃮
ur5,𒄯
šìr,𒂡
34,𒌍𒐉
64,𒐕𒐉
l,l
ama,𒂼
ub,𒌒
káb,𒅘
gil,𒄃
idim,𒅂
unug,𒀕
duk,𒂁
raq,𒊩
qát,𒋗
dag,𒁖
lah,𒌓
kul,𒆰
palil,𒅆𒁺
81,𒐕𒌋𒌋𒁹
líb,𒆗
máš,𒈧
uk,𒊌
ganba,𒆠𒇴
HU,𒄷
kib,𒄒
iš,𒅖
ṭè,𒉈
gab,𒃮
mad,𒆳
ṣip,𒍦
sùh,𒄗
là,𒆷
kiri6,𒊬
ban,𒉼
uq,𒊌
tùm,𒉐
63,𒐕𒐈
dil,𒀸
94,𒐕𒌍𒐉
muhaldim,𒈬
šim,𒋆
kaskal,𒆜
KU,𒆪
šap,𒉺𒅁
zabar,𒌓𒅗𒁇
aṣ,𒊍
ig,𒅅
gub5,𒆤
isin,𒉺𒊺
nanna,𒋀𒆠
dib,𒁳
ziq,𒍨
qur,𒄥
kir,𒄫
bara2,𒁈
pal,𒁄
52,𒐐𒈫
gir,𒄫
hum,𒈝
šèr,𒂡
gán,𒃷
pt,pt
IS,𒄑
lít,𒀖
r,r
ana,𒁹
ep,𒅁
ín,𒅔
