label
𒁲
𒐕𒌍𒐈
𒋰
𒀀𒀭
",2"
𒆧
𒈣
𒍦
𒁈
0.4
𒄒
𒐕𒌍𒁹
𒌋𒌋𒐍
𒌋𒐊
𒊻
𒉐
𒌆𒌓
𒐕𒌍
𒋠
𒅗
𒌋𒌋𒐉
𒉼
𒄦
𒌫
𒁵
𒁁
𒌅
𒐐𒐉
𒂇
𒈠
𒉆
𒃷
𒋻
0.2
𒃼
𒐕𒌋𒌋𒐉
𒁾
𒍢
𒅓
𒃮
𒌋𒌋𒐋
𒌋𒌋𒁹
𒆸𒆸
𒋼𒀀
𒆍
𒅅
𒂼
𒌍𒐊
𒂖
𒆷
𒂍
𒇸
𒂦
𒐕𒌋𒌋𒐈
𒉺𒌆
𒈧
𒀜
𒊷
𒅈
𒃻
𒆜
𒄿
𒊩𒌆
𒌌
𒁓
𒂟
𒈫
𒉺𒊺
𒄬
𒁍
𒌣
𒍇
𒌋𒌋𒑆
𒉈
𒐐𒁹
𒍮
𒂁
𒁷
𒌓
𒊮
𒉄
𒂅
𒐋
𒊒
𒋼
𒋩
𒌶
𒐕𒁹
𒋾
𒊍
𒊐
𒅖
𒋀𒆠
𒐕𒐉
𒅎
𒄠
𒈤
𒀖
𒋃
𒉽
𒇻
𒄤
𒆲
𒄈
𒅕
𒐏
𒌁
𒌍𒈫
𒉎
𒌉𒍑
𒌋𒌋𒈫
𒀭+𒈾
𒄭
𒀁
0.1
𒄃
𒌋𒈫
𒐐𒈫
𒌋𒐍
𒀴
𒄷𒄭
𒋙
𒂕
𒆏
𒅋
𒊏
𒇷
𒆟
𒌉
𒐌
𒍩
𒀪
𒍝
𒌋𒑆
𒈪𒉭
𒁳
𒍝𒄢
𒉚
𒆗
𒌋𒅗
𒈪
𒌋
𒐕𒐈
𒀲
𒐕𒐍
𒇴
",4"
𒊩𒆳
1en
𒄰
𒄴
𒆸
𒄙
𒍥
𒊓
𒉿
𒌗
𒐏𒐉
𒅇
𒋫
𒁖
𒋝
𒋚
𒋛
𒂄
𒀸
𒄞
𒄗
𒉺𒅁
𒐕𒌍𒐊
𒋀
𒂔
𒄵
𒄩
𒉪
𒉠
𒐏𒐋
𒐕𒌋𒐈
𒑛
𒆥
𒐕𒌋𒐌
𒌈
𒀊
𒈥
𒄘
𒋓
𒆳
𒆐
𒄑𒈪
𒀭+𒈹
𒊕
𒉡
𒐕𒌋
𒀬
𒇑
𒄑
𒐐𒐌
𒈗
𒐐
𒄫
𒀝
𒆬
𒋳
𒁀
𒅆𒁺
𒆤
𒁹
𒐕𒈫
𒋥
𒐍
𒑆
𒄷
0.3
𒀀
𒃲
𒂠
𒌓𒅗𒁇
𒁇
𒀕
𒃵
𒆪
𒁶
𒐐𒐊
𒌋𒐉
𒌤
𒐕𒌋𒌋
𒊹
𒐕𒌋𒐍
𒅁
𒌍𒐈
𒁴
𒋢
𒄀
𒃰
𒌆
𒌋𒐈
𒅆𒁾
𒍠
𒅂
𒁺
𒉌𒌓
𒋡
𒈬
𒌍𒐋
𒁄
𒄯
𒁃
𒇺
𒂂
𒉏
𒌺
𒐕𒌋𒐋
𒆭
",1"
𒁉
𒐕𒐊
𒈝
𒄭𒀀
𒆰
𒈲
𒈨
𒐉
𒆠𒇴
𒌋𒌋𒐌
𒋀𒀊
𒃣
𒀾
𒌋𒌋
𒈮
𒐕𒌋𒌋𒐋
𒀫
𒂗
𒄊
𒌍𒁹
𒌋𒐋
𒍪
𒉻
𒂆
𒐕𒌍𒐉
𒐕𒌍𒐌
𒂡
𒌋𒌋𒐈
𒌋𒐌
𒇽
𒂷
𒐕𒌋𒌋𒁹
𒐐𒐈
𒐕𒌋𒌋𒐍
𒂊
",3"
𒈭
𒊺
𒌍
0.5
𒁮
𒋞
𒋧
𒆠𒈫
𒐕𒌍𒐍
𒐕𒌋𒁹
𒌨
𒐕
𒌓𒁺
𒃾
𒁕
𒄣
𒅍
𒑏
𒈩
𒊩
𒐏𒐈
𒌦
𒋗𒃸
𒅆
𒑚
𒐏𒐊
𒉌
𒀀𒇉
𒀭+𒂗
𒅀
𒇧
𒉺𒇻
𒌇
𒋛𒀀
𒌑
𒐕𒌋𒌋𒐊
𒌷
𒄖
𒌍𒐍
𒌋𒁹
𒌀
𒈾
𒋆
𒊬
𒊩𒌨
𒄢
𒍜
𒌓𒄒𒉣
𒅆𒂟
𒁆
𒊑
𒄘𒌦
𒃶
𒌒
𒍑
𒉣
𒃽
𒆠
𒐈
𒇥
𒆕
𒀿
𒑰
𒀠
𒉭
𒀳
𒌋𒌆
𒃡
𒄽
𒂵
𒐊
𒅔
𒐏𒐍
𒉺
𒊭
𒀭
𒐏𒁹
𒈛
𒈨𒌍
𒇲
𒌋𒌋𒐊
𒍣
𒇯
𒄥
𒈜
𒊌
𒆹
𒋗
𒌍𒐌
𒇡
𒀉
𒈦
𒍨
𒅘
𒌝
𒄄
