label
",2"
",3"
",4"
0.1
0.2
0.3
0.4
0.5
1en
𒀀
𒀀𒀭
𒀀𒇉
𒀉
𒀊
𒀕
𒀖
𒀜
𒀝
𒀠
𒀪
𒀫
𒀬
𒀭
𒀭+𒂗
𒀭+𒈾
𒀲
𒀳
𒀴
𒀸
𒀾
𒁀
𒁁
𒁃
𒁆
𒁇
𒁉
𒁍
𒁓
𒁕
𒁮
𒁲
𒁳
𒁴
𒁵
𒁶
𒁷
𒁹
𒁺
𒁾
𒂁
𒂄
𒂅
𒂆
𒂇
𒂊
𒂍
𒂕
𒂖
𒂗
𒂟
𒂡
𒂦
𒂵
𒂷
𒂼
𒃡
𒃣
𒃮
𒃰
𒃲
𒃶
𒃻
𒃼
𒃽
𒃾
𒄀
𒄃
𒄈
𒄑
𒄑𒈪
𒄒
𒄖
𒄗
𒄘
𒄙
𒄞
𒄠
𒄢
𒄣
𒄥
𒄦
𒄩
𒄫
𒄬
𒄭
𒄭𒀀
𒄯
𒄰
𒄴
𒄵
𒄷
𒄷𒄭
𒄿
𒅀
𒅁
𒅂
𒅅
𒅆
𒅆𒁺
𒅆𒂟
𒅇
𒅈
𒅋
𒅍
𒅎
𒅔
𒅕
𒅖
𒅗
𒅘
𒆍
𒆏
𒆐
𒆕
𒆗
𒆜
𒆟
𒆠
𒆠𒇴
𒆠𒈫
𒆤
𒆥
𒆧
𒆪
𒆬
𒆰
𒆲
𒆳
𒆷
𒆸
𒇑
𒇡
𒇲
𒇴
𒇷
𒇺
𒇻
𒇽
𒈗
𒈛
𒈜
𒈝
𒈠
𒈣
𒈤
𒈥
𒈦
𒈧
𒈨
𒈨𒌍
𒈩
𒈪
𒈪𒉭
𒈫
𒈬
𒈭
𒈮
𒈲
𒈾
𒈿
𒉄
𒉆
𒉈
𒉌
𒉌𒌓
𒉏
𒉐
𒉚
𒉠
𒉡
𒉣
𒉪
𒉭
𒉺
𒉺𒅁
𒉺𒇻
𒉺𒊺
𒉺𒌆
𒉻
𒉼
𒉽
𒉿
𒊌
𒊍
𒊏
𒊐
𒊑
𒊒
𒊕
𒊩
𒊩𒌆
𒊬
𒊭
𒊮
𒊷
𒊺
𒊻
𒋀
𒋀𒀊
𒋀𒆠
𒋃
𒋆
𒋓
𒋗
𒋗𒃸
𒋙
𒋚
𒋛
𒋛𒀀
𒋝
𒋞
𒋠
𒋡
𒋢
𒋧
𒋩
𒋫
𒋰
𒋳
𒋻
𒋼
𒋼𒀀
𒋾
𒌀
𒌁
𒌅
𒌆
𒌆𒌓
𒌇
𒌈
𒌉
𒌉𒍑
𒌋
𒌋𒁹
𒌋𒅗
𒌋𒈫
𒌋𒌆
𒌋𒌋
𒌋𒌋𒁹
𒌋𒌋𒈫
𒌋𒌋𒐈
𒌋𒌋𒐉
𒌋𒌋𒐋
𒌋𒌋𒐌
𒌋𒌋𒐍
𒌋𒌋𒑆
𒌋𒐈
𒌋𒐉
𒌋𒐊
𒌋𒐋
𒌋𒐌
𒌋𒑆
𒌌
𒌍
𒌍𒁹
𒌍𒈫
𒌍𒐊
𒌍𒐍
𒌑
𒌒
𒌓
𒌓𒁺
𒌓𒄒𒉣
𒌓𒅗𒁇
𒌗
𒌝
𒌣
𒌤
𒌦
𒌨
𒌫
𒌶
𒌷
𒍇
𒍑
𒍝
𒍠
𒍣
𒍦
𒍨
𒍩
𒍪
𒍮
𒐈
𒐉
𒐊
𒐋
𒐌
𒐍
𒐏
𒐏𒁹
𒐏𒈫
𒐏𒐊
𒐏𒐋
𒐐
𒐐𒁹
𒐐𒐈
𒐐𒐉
𒐕
𒐕𒈫
𒐕𒌋𒈫
𒐕𒌋𒌋
𒐕𒌋𒌋𒁹
𒐕𒌋𒌋𒐊
𒐕𒌋𒐍
𒐕𒌍𒁹
𒐕𒌍𒐈
𒐕𒌍𒐍
𒐕𒐈
𒐕𒐋
𒑆
𒑏
𒑚
𒑛
𒑰
