label,0,1,2,3,4,5,6,7,8,9,10,11,12,13
𒀠,al,,,,,,,,,,,,,
𒌨,ur,lik,taš,liq,,,,,,,,,,
𒑚,1%3,,,,,,,,,,,,,
𒋠,síg,,,,,,,,,,,,,
𒇲,lá,,,,,,,,,,,,,
𒌆,túg,umuš,,,,,,,,,,,,
𒈫,2,min,,,,,,,,,,,,
𒌶,uri3,,,,,,,,,,,,,
𒄦,gur7,,,,,,,,,,,,,
𒌋𒌋,man,20,mìn,niš,mana,mìm,,,,,,,,
𒄑,is,giš,iz,GIŠ,IS,geš,iṣ,gis,,,,,,
𒍩,zíz,,,,,,,,,,,,,
𒌋𒁹,11,,,,,,,,,,,,,
𒄞,gu4,har2,,,,,,,,,,,,
𒌋𒐍,18,,,,,,,,,,,,,
",2",",2",,,,,,,,,,,,,
0.3,0.3,,,,,,,,,,,,,
𒊻,uz,us,uṣ,,,,,,,,,,,
𒄷,mušen,hu,HU,bak,,,,,,,,,,
𒆭,ku4,,,,,,,,,,,,,
𒂖,sikil,el,il5,,,,,,,,,,,
𒆗,tan,dan,kal,lab,líb,reb,KAL,,,,,,,
",4",",4",,,,,,,,,,,,,
𒐈,3,,,,,,,,,,,,,
𒋓,šir,,,,,,,,,,,,,
𒄠,am,AM,,,,,,,,,,,,
𒁵,mun,,,,,,,,,,,,,
𒆤,sah,líl,gub5,qit,qid,kit,,,,,,,,
𒇷,le,li,,,,,,,,,,,,
𒌋𒈫,12,,,,,,,,,,,,,
0.1,0.1,,,,,,,,,,,,,
𒈦,1%2,maš,,,,,,,,,,,,
𒋡,qa,,,,,,,,,,,,,
𒄴,ih,ah,eh,uh,,,,,,,,,,
𒍢,ṣi,ṣe,,,,,,,,,,,,
𒋼,te,,,,,,,,,,,,,
𒌆𒌓,azalag,,,,,,,,,,,,,
𒃰,gada,kat,,,,,,,,,,,,
𒊩,šal,mí,f,raq,šál,sal,rag,mim,munus,rak,,,,
𒄘,gú,,,,,,,,,,,,,
𒄬,hal,,,,,,,,,,,,,
𒍮,ṣu,,,,,,,,,,,,,
𒉠,murub4,,,,,,,,,,,,,
𒌓𒁺,è,,,,,,,,,,,,,
𒃽,gašan,,,,,,,,,,,,,
𒅅,íg,iq,gál,ig,ik,IK,,,,,,,,
1en,1en,,,,,,,,,,,,,
𒄖,gu,,,,,,,,,,,,,
𒊭,ša,,,,,,,,,,,,,
𒑆,9,,,,,,,,,,,,,
𒈤,mah,,,,,,,,,,,,,
𒆥,kin,qin,gur10,,,,,,,,,,,
𒇧,bul,pul,,,,,,,,,,,,
𒀖,liṭ,lid,lít,lit,,,,,,,,,,
𒂷,ba4,gá,mál,,,,,,,,,,,
𒌉𒍑,ibila,,,,,,,,,,,,,
𒌋𒌋𒁹,21,,,,,,,,,,,,,
𒀀𒇉,i7,,,,,,,,,,,,,
𒀀𒀭,àm,a4,,,,,,,,,,,,
𒆠𒈫,kimin,,,,,,,,,,,,,
𒅔,in,ín,,,,,,,,,,,,
𒐕𒌋𒌋,80,,,,,,,,,,,,,
0.2,0.2,,,,,,,,,,,,,
𒀲,anše,,,,,,,,,,,,,
𒋻,ku5,šil,kut,sila,haṣ,haš,tar,ṭar,,,,,,
𒐕𒌋𒌋𒐉,84,,,,,,,,,,,,,
𒌀,tel,ug7,sumun,til,,,,,,,,,,
𒌋𒑆,19,,,,,,,,,,,,,
𒂦,bàd,,,,,,,,,,,,,
𒆍,ká,,,,,,,,,,,,,
𒌋𒐉,14,,,,,,,,,,,,,
𒀊,ab,ap,,,,,,,,,,,,
𒌦,un,,,,,,,,,,,,,
𒆧,qiš,kis,,,,,,,,,,,,
𒋛𒀀,ṭir,dirig,ṭer,,,,,,,,,,,
𒄽,húb,,,,,,,,,,,,,
𒀭+𒈹,d+innin,,,,,,,,,,,,,
𒄄,gi4,,,,,,,,,,,,,
𒆜,raš,kaskal,kas,,,,,,,,,,,
𒅋,il,IL,,,,,,,,,,,,
𒊬,sar,šar,kiri6,,,,,,,,,,,
𒈩,rit,kišib,mès,rid,,,,,,,,,,
𒀁,eduru,,,,,,,,,,,,,
𒁃,bahar2,,,,,,,,,,,,,
𒈜,lul,lib,nar,,,,,,,,,,,
𒁄,bal,pal,,,,,,,,,,,,
𒅁,ip,ib,ép,ep,ìb,urta,IB,,,,,,,
𒌇,tuk,TUK,tuq,,,,,,,,,,,
𒋆,lunga,šim,rik,,,,,,,,,,,
𒈝,lum,lu4,hum,,,,,,,,,,,
𒌋𒐋,16,,,,,,,,,,,,,
𒉣,nun,ṣil,,,,,,,,,,,,
0.5,0.5,,,,,,,,,,,,,
𒐕,gì,60,,,,,,,,,,,,
𒍪,zu,sú,,,,,,,,,,,,
𒌋𒌋𒐊,25,,,,,,,,,,,,,
𒋼𒀀,kar,,,,,,,,,,,,,
𒋞,sig4,,,,,,,,,,,,,
𒍣,zi,ze,,,,,,,,,,,,
𒋩,šur,sur,,,,,,,,,,,,
𒐕𒌋𒐋,76,,,,,,,,,,,,,
𒌋𒐌,17,,,,,,,,,,,,,
𒆸,kil,hab,hap,,,,,,,,,,,
𒋝,sik,sig,šik,,,,,,,,,,,
𒆐,kát,kád,,,,,,,,,,,,
𒀿,ašgab,,,,,,,,,,,,,
𒐏,40,,,,,,,,,,,,,
𒍥,zì,,,,,,,,,,,,,
𒁁,be,mit,bat,ziz,,,,,,,,,,
